Date,Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
2022-01-18 00:00:00+00:00,42375.6328125,22417209227,3164.025146484375,13024154091,1.0004199743270874,52799723207,472.0050659179688,2106859289
2022-01-19 00:00:00+00:00,41744.328125,23091543258,3095.825927734375,13187424144,1.0004899501800537,50127231375,462.8220825195313,1780063381
2022-01-20 00:00:00+00:00,40680.41796875,20382033940,3001.1201171875,10645922764,1.0002570152282717,38591713522,440.0054321289063,1881741995
2022-01-21 00:00:00+00:00,36457.31640625,43011992031,2557.931640625,26796291874,1.000177025794983,86570105642,383.0739135742188,3647221590
2022-01-22 00:00:00+00:00,35030.25,39714385405,2405.18115234375,27369692036,1.0001579523086548,90441827607,358.0961608886719,4226932408
2022-01-23 00:00:00+00:00,36276.8046875,26017975951,2535.0390625,16481489511,1.0004910230636597,57296666670,383.9339599609375,2786834863
2022-01-24 00:00:00+00:00,36654.328125,41856658597,2440.352294921875,28220804648,1.0004390478134155,88845381041,371.3689575195313,3210871602
2022-01-25 00:00:00+00:00,36954.00390625,26428189594,2455.93505859375,16179776932,1.0006040334701538,58560287216,384.6193542480469,2325661159
2022-01-26 00:00:00+00:00,36852.12109375,31324598034,2468.0302734375,21229909340,1.000630021095276,70750980627,375.7554626464844,2226973227
2022-01-27 00:00:00+00:00,37138.234375,25041426629,2423.001220703125,16126522783,1.0003440380096436,53950927548,390.0882873535156,1952844398
2022-01-28 00:00:00+00:00,37784.33203125,22238830523,2547.092041015625,14666227351,1.00034499168396,50688257403,386.0843811035156,1592850476
2022-01-29 00:00:00+00:00,38138.1796875,17194183075,2597.084716796875,11172062661,1.0003620386123655,39357192812,389.1327819824219,1330610935
2022-01-30 00:00:00+00:00,37917.6015625,14643548444,2603.466552734375,9501221177,1.0003410577774048,35043713256,377.6129150390625,1289330238
2022-01-31 00:00:00+00:00,38483.125,20734730465,2688.27880859375,13778234614,1.0004849433898926,45082693892,375.2773132324219,1386778184
2022-02-01 00:00:00+00:00,38743.2734375,20288500328,2792.1171875,13194846235,1.0004260540008545,43193864245,385.46380615234375,1392647608
2022-02-02 00:00:00+00:00,36952.984375,19155189416,2682.85400390625,13876301217,1.000380039215088,44198324772,367.4716796875,1290849744
2022-02-03 00:00:00+00:00,37154.6015625,18591534769,2679.16259765625,12755505065,1.0003859996795654,41979444063,370.8777465820313,1202744039
2022-02-04 00:00:00+00:00,41500.875,29412210792,2983.5869140625,18987223729,1.0005630254745483,59154422463,399.0296020507813,1711084752
2022-02-05 00:00:00+00:00,41441.1640625,19652846215,3014.648193359375,13102093957,1.000594973564148,50686325002,414.2000122070313,2039010962
2022-02-06 00:00:00+00:00,42412.43359375,16142097334,3057.47607421875,9466018022,1.0006790161132812,40572292703,419.5455627441406,1427593921
2022-02-07 00:00:00+00:00,43840.28515625,28641855926,3142.470703125,15197063785,1.0005550384521484,64635714287,433.2292785644531,1755674427
2022-02-08 00:00:00+00:00,44118.4453125,33079398868,3122.608642578125,17136080906,1.0006190538406372,72230569455,408.7767639160156,2247004672
2022-02-09 00:00:00+00:00,44338.796875,23245887300,3239.45703125,13951308490,1.0007439851760864,53386706331,422.4655456542969,1601745132
